Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country,Latitude,Longitude
Porsche,911,2022,3,379,331,4,"101,200",Jerman,46.5026049,13.8359023
Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Italia,42.6384261,12.674297
Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Italia,42.6384261,12.674297
Audi,R8,2022,5.2,562,406,3.2,"142,700",Jerman,46.5026049,13.8359023
McLaren,720S,2021,4,710,568,2.7,"298,000",Inggris,54.7023545,-3.2765753
BMW,M8,2022,4.4,617,553,3.1,"130,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Jerman,46.5026049,13.8359023
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",Amerika,54.6756129,17.4396446
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",Amerika,54.6756129,17.4396446
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Jepang,36.5748441,139.2394179
Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Italia,42.6384261,12.674297
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Jerman,46.5026049,13.8359023
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Italia,42.6384261,12.674297
Ariel,Atom,2021,2,320,243,2.8,"75,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"225,000",Inggris,54.7023545,-3.2765753
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Jerman,46.5026049,13.8359023
Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Italia,42.6384261,12.674297
Polestar,1,2021,2,600,738,4.1,"155,000",Tidak Diketahui,28.663346750418974, 121.40913118171484
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Kroasia,45.3658443,15.6575209
Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",Jerman,46.5026049,13.8359023
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,RS7,2022,4,591,590,3.5,"117,000",Jerman,46.5026049,13.8359023
McLaren,Artura,2021,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,503,479,3.8,"72,800",Jerman,46.5026049,13.8359023
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",Jepang,36.5748441,139.2394179
Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Italia,42.6384261,12.674297
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Italia,42.6384261,12.674297
Audi,RS3,2022,2.5,394,369,3.9,"57,000",Jerman,46.5026049,13.8359023
McLaren,GT,2021,4,612,465,3.1,"210,000",Inggris,54.7023545,-3.2765753
BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",Jerman,46.5026049,13.8359023
Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000",Jerman,46.5026049,13.8359023
Porsche,Cayman,2021,2,300,280,5.1,"58,900",Jerman,46.5026049,13.8359023
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,RS3,2022,2.5,394,369,3.9,"56,200",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,2.8,"192,500",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,503,479,3.8,"71,800",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000",Jerman,46.5026049,13.8359023
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500",Amerika,54.6756129,17.4396446
Ford,Mustang GT,2022,5,460,420,4.3,"39,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2021,4,503,505,3.5,"142,100",Inggris,54.7023545,-3.2765753
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Inggris,54.7023545,-3.2765753
Porsche,Panamera,2021,2.9,325,331,5.1,"87,200",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Italia,42.6384261,12.674297
Ferrari,Roma,2021,3.9,612,560,3.4,"222,000",Italia,42.6384261,12.674297
Audi,S5,2022,3,349,369,4.4,"52,500",Jerman,46.5026049,13.8359023
McLaren,600LT,2021,3.8,592,457,2.8,"241,000",Inggris,54.7023545,-3.2765753
BMW,M5,2022,4.4,600,553,3.2,"103,500",Jerman,46.5026049,13.8359023
Aston Martin,Vantage,2022,4,503,505,3.5,"146,000",Inggris,54.7023545,-3.2765753
Audi,RS5,2021,2.9,444,443,3.6,"75,400",Jerman,46.5026049,13.8359023
BMW,M2,2022,3,405,406,4,"58,900",Jerman,46.5026049,13.8359023
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595",Amerika,54.6756129,17.4396446
Ford,GT,2021,3.5,660,550,3,"500,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,2,296,295,5.4,"62,750",Inggris,54.7023545,-3.2765753
Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826",Italia,42.6384261,12.674297
Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Italia,42.6384261,12.674297
McLaren,Artura,2022,3,671,531,3,"225,000",Inggris,54.7023545,-3.2765753
Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100",Jerman,46.5026049,13.8359023
Nissan,370Z,2021,3.7,332,270,5,"30,090",Jepang,36.5748441,139.2394179
Porsche,Panamera,2022,2.9,325,331,5.3,"88,700",Jerman,46.5026049,13.8359023
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Jerman,46.5026049,13.8359023
BMW,M4,2022,3,473,406,4.1,"72,800",Jerman,46.5026049,13.8359023
Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900",Amerika,54.6756129,17.4396446
Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280",Italia,42.6384261,12.674297
Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915",Amerika,54.6756129,17.4396446
Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Italia,42.6384261,12.674297
Porsche,718 Cayman,2022,2,300,280,4.5,"61,000",Jerman,46.5026049,13.8359023
Acura,NSX,2022,3.5,573,476,2.9,"159,495",Jepang,36.5748441,139.2394179
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.3,"219,800",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,3,380,339,4.9,"71,900",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Italia,42.6384261,12.674297
Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830",Jepang,36.5748441,139.2394179
McLaren,GT,2022,4,620,465,3.1,"213,195",Inggris,54.7023545,-3.2765753
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Jerman,46.5026049,13.8359023
Pagani,Huayra,2022,6,764,738,2.8,"2,800,000",Italia,42.6384261,12.674297
Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550",Jerman,46.5026049,13.8359023
Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000",Kroasia,45.3658443,15.6575209
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",Inggris,54.7023545,-3.2765753
Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000",Amerika,54.6756129,17.4396446
Toyota,Supra,2022,3,382,368,3.9,"43,090",Jepang,36.5748441,139.2394179
W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000",Lebanon,40.375713,-76.4626118
Porsche,718 Cayman,2022,2,300,280,4.7,"60,500",Jerman,46.5026049,13.8359023
Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,TT RS,2022,2.5,394,354,3.4,"67,000",Jerman,46.5026049,13.8359023
McLaren,GT,2021,4,612,465,3.1,"212,500",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,503,479,3.8,"75,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,2.8,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z,2021,3.7,332,270,4.7,"31,015",Jepang,36.5748441,139.2394179
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Inggris,54.7023545,-3.2765753
McLaren,570S,2021,3.8,562,443,3.2,"192,500",Inggris,54.7023545,-3.2765753
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"190,000",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.6,"222,000",Italia,42.6384261,12.674297
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Italia,42.6384261,12.674297
Audi,RS7,2021,4,591,590,3.5,"115,000",Jerman,46.5026049,13.8359023
BMW,M2,2022,3,405,406,4.2,"59,000",Jerman,46.5026049,13.8359023
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100",Jerman,46.5026049,13.8359023
Lamborghini,Aventador,2021,6.5,730,509,2.9,"417,826",Italia,42.6384261,12.674297
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.6,"220,300",Inggris,54.7023545,-3.2765753
Audi,RS7,2022,4,591,590,3.5,"114,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"239,100",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Inggris,54.7023545,-3.2765753
BMW,M2,2022,3,405,406,4,"58,900",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290",Amerika,54.6756129,17.4396446
Ferrari,Portofino,2021,3.9,592,560,3.5,"219,750",Italia,42.6384261,12.674297
Porsche,Panamera Turbo S,2022,4,620,604,2.9,"187,700",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Italia,42.6384261,12.674297
Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350",Jerman,46.5026049,13.8359023
Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Inggris,54.7023545,-3.2765753
Audi,S5,2022,3,349,369,4.4,"52,500",Jerman,46.5026049,13.8359023
Porsche,Cayman,2022,2.5,365,309,4.5,"68,900",Jerman,46.5026049,13.8359023
Lamborghini,Aventador,2021,6.5,730,507,2.8,"517,770",Italia,42.6384261,12.674297
Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"276,550",Italia,42.6384261,12.674297
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Inggris,54.7023545,-3.2765753
BMW,Z4 M40i,2022,3,382,369,3.9,"63,700",Jerman,46.5026049,13.8359023
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Jerman,46.5026049,13.8359023
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000",Amerika,54.6756129,17.4396446
Ford,Mustang Mach 1,2021,5,480,420,4,"51,720",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Jepang,36.5748441,139.2394179
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.5,"218,009",Italia,42.6384261,12.674297
Ferrari,Roma,2021,3.9,612,561,3.3,"222,620",Italia,42.6384261,12.674297
Audi,RS 3,2022,2.5,401,369,3.6,"56,200",Jerman,46.5026049,13.8359023
McLaren,GT,2021,4,612,465,3.2,"200,000",Inggris,54.7023545,-3.2765753
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Amerika,54.6756129,17.4396446
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Aston Martin,DB11,2022,4,503,513,3.7,"204,100",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2021,6,626,664,3.4,"220,300",Inggris,54.7023545,-3.2765753
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Prancis,46.603354,1.8883335
Dodge,Viper,2017,8.4,645,600,3.3,"120,000",Amerika,54.6756129,17.4396446
Jaguar,F-Type,2022,3,380,339,4.9,"69,900",Inggris,54.7023545,-3.2765753
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Swedia,59.6749712,14.5208584
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,950",Inggris,54.7023545,-3.2765753
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,000",Italia,42.6384261,12.674297
McLaren,570S,2020,3.8,562,443,3.1,"204,550",Inggris,54.7023545,-3.2765753
Pagani,Huayra,2020,6,720,738,3,"2,700,000",Italia,42.6384261,12.674297
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Jerman,46.5026049,13.8359023
Rimac,C_Two,2022,,1914,1696,1.9,"2,400,000",Kroasia,45.3658443,15.6575209
Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"330,000",Inggris,54.7023545,-3.2765753
Shelby,Cobra,1965,7,435,440,4.2,"1,000,000",Amerika,54.6756129,17.4396446
Tesla,Model S Plaid,2021,,1020,1050,1.98,"131,190",Amerika,54.6756129,17.4396446
Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Jepang,36.5748441,139.2394179
TVR,Griffith,2022,5,500,479,3.8,"123,500",Inggris,54.7023545,-3.2765753
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"3,400,000",Lebanon,40.375713,-76.4626118
Porsche,718 Cayman,2021,2,300,280,4.5,"61,500",Jerman,46.5026049,13.8359023
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"518,000",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"507,000",Italia,42.6384261,12.674297
Audi,RS 6,2021,4,591,590,3.5,"109,000",Jerman,46.5026049,13.8359023
McLaren,GT,2021,4,612,465,3.1,"210,000",Inggris,54.7023545,-3.2765753
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Jerman,46.5026049,13.8359023
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"228,000",Jerman,46.5026049,13.8359023
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,2.8,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Jepang,36.5748441,139.2394179
Porsche,Taycan,2021,Electric,750,774,2.6,"185,000",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Italia,42.6384261,12.674297
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"276,550",Italia,42.6384261,12.674297
Audi,RS 3,2022,2.5,401,354,3.5,"56,000",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,3.1,"191,000",Inggris,54.7023545,-3.2765753
BMW,M5,2022,4.4,600,553,3.2,"104,000",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Amerika,54.6756129,17.4396446
Porsche,Taycan,2022,2,402,254,5.1,"81,250",Jerman,46.5026049,13.8359023
Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,700",Italia,42.6384261,12.674297
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"330,000",Inggris,54.7023545,-3.2765753
Audi,RS 6 Avant,2021,4,591,590,3.5,"109,000",Jerman,46.5026049,13.8359023
McLaren,600LT,2021,3.8,592,457,2.8,"242,500",Inggris,54.7023545,-3.2765753
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000",Jerman,46.5026049,13.8359023
BMW,M4,2022,3,473,406,4.1,"72,800",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,2.9,"500,000",Amerika,54.6756129,17.4396446
Nissan,370Z,2021,3.7,332,270,4.9,"30,090",Jepang,36.5748441,139.2394179
Porsche,Panamera,2022,2.9,325,332,5.3,"87,200",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Italia,42.6384261,12.674297
Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Prancis,46.603354,1.8883335
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Italia,42.6384261,12.674297
Audi,RS 7,2021,4,591,590,3.5,"114,000",Jerman,46.5026049,13.8359023
McLaren,570S,2021,3.8,562,443,3.1,"191,000",Inggris,54.7023545,-3.2765753
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Inggris,54.7023545,-3.2765753
Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"177,700",Jerman,46.5026049,13.8359023
Lamborghini,Aventador S,2021,6.5,729,509,2.9,"417,650",Italia,42.6384261,12.674297
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italia,42.6384261,12.674297
Audi,RS7,2022,4,591,590,3.5,"115,045",Jerman,46.5026049,13.8359023
McLaren,600LT,2021,3.8,592,457,2.9,"256,500",Inggris,54.7023545,-3.2765753
BMW,M2 Competition,2022,3,405,406,4,"59,895",Jerman,46.5026049,13.8359023
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"152,500",Jerman,46.5026049,13.8359023
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Amerika,54.6756129,17.4396446
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,2.9,"500,000",Amerika,54.6756129,17.4396446
Porsche,Taycan Turbo S,2021,,750,774,2.6,"185,000",Jerman,46.5026049,13.8359023
Lamborghini,Urus,2021,4,641,627,3.2,"218,009",Italia,42.6384261,12.674297
Ferrari,812 Superfast,2021,6.5,789,530,2.9,"363,730",Italia,42.6384261,12.674297
Audi,R8 Spyder,2022,5.2,562,406,3.5,"183,300",Jerman,46.5026049,13.8359023
McLaren,GT,2021,4,612,465,3.1,"210,000",Inggris,54.7023545,-3.2765753
BMW,M4,2022,3,473,406,4.1,"73,795",Jerman,46.5026049,13.8359023
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000",Jerman,46.5026049,13.8359023
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995",Amerika,54.6756129,17.4396446
Aston Martin,DB11,2022,5.2,630,516,3.5,"207,000",Inggris,54.7023545,-3.2765753
Bentley,Continental GT,2022,6,626,664,3.5,"203,825",Inggris,54.7023545,-3.2765753
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Inggris,54.7023545,-3.2765753
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Jepang,36.5748441,139.2394179
Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800",Inggris,54.7023545,-3.2765753
Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Jerman,46.5026049,13.8359023
Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150",Italia,42.6384261,12.674297
Audi,RS5,2022,2.9,444,443,3.7,"77,250",Jerman,46.5026049,13.8359023
BMW,M2 Competition,2021,3,405,406,4,"58,900",Jerman,45.5349844,13.7501681
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Amerika,54.6756129,17.4396446
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490",Amerika,54.6756129,17.4396446
Ford,GT,2022,3.5,660,550,2.8,"500,000",Amerika,54.6756129,17.4396446
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Jepang,36.5748441,139.2394179
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400",Italia,42.6384261,12.674297
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820",Jepang,36.5748441,139.2394179
Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"330,000",Inggris,54.7023545,-3.2765753
Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170",Jepang,36.5748441,139.2394179
Tesla,Model S Plaid,2022,,1020,1050,1.9,"131,190",Amerika,54.6756129,17.4396446
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Jerman,45.5349844,13.7501681
Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Italia,42.6384261,12.674297
Ferrari,Portofino,2022,3.9,591,413,3.3,"218,750",Italia,42.6384261,12.674297
Audi,RS7,2021,4,591,590,3.5,"114,000",Jerman,45.5349844,13.7501681
McLaren,600LT,2021,3.8,592,457,2.8,"256,500",Inggris,54.7023545,-3.2765753
